"files","method","horizon","subs.1","subs.2","subs.3","subs.4","subs.5","subs.6","subs.7","subs.8","subs.9","subs.10","subs.11","subs.12","subs.13","subs.14","subs.15","subs.16","subs.17","subs.18","subs.19","subs.20"
"averageARIMA_horizon_2.csv","averageARIMA",2,0.177858066104969,0.224823373462638,0.1646751156349,0.292976853075548,0.213195100368498,0.217490558841363,0.215297383519466,0.248950672409499,0.197491933381839,0.315221130910286,0.285311856985213,0.152372363268471,0.170129354513058,0.20772570260185,0.291231664091656,0.277841767651149,0.284228106534646,0.179173666318478,0.184220034306465,0.166728051728256
"averageARIMA_horizon_3.csv","averageARIMA",3,0.183227605004754,0.227491062323209,0.169245138405385,0.297267616777913,0.215318469984896,0.218558340500455,0.21701142140683,0.251386047686927,0.200005081407147,0.317112776925981,0.287078529749252,0.154803468061676,0.172164432190883,0.209022220857296,0.292606443839621,0.278905310280805,0.286238000425898,0.181850356108945,0.187309899382782,0.169028197544208
"averageARIMA_horizon_4.csv","averageARIMA",4,0.185802354696792,0.229808931826703,0.171029490943715,0.305995166093579,0.216185957939179,0.219626380433379,0.217902120385861,0.252152729622908,0.202124613442835,0.318470715881067,0.288457601538774,0.157212820170326,0.174118773032031,0.210224209664656,0.29452874019404,0.279571577590576,0.287875811987786,0.183056670502728,0.188986938456698,0.170103301810192
"averageARIMA_horizon_5.csv","averageARIMA",5,0.187517845516643,0.230950441504269,0.172037243278971,0.312065370300874,0.217453633595713,0.220460275724227,0.218020746123802,0.253437994016994,0.203382871060055,0.319684000125911,0.289364773918733,0.158574948278004,0.175571487118001,0.211210526267522,0.295468497606038,0.280490601608208,0.288973977963172,0.183571025568574,0.189812035974452,0.170520831596025
"averageARIMA_horizon_6.csv","averageARIMA",6,0.187523035994763,0.233677366898475,0.172169397328024,0.318352979100754,0.217942774720212,0.221207124348221,0.218419832443929,0.254009267365267,0.204694401152943,0.320382007159969,0.290122832066408,0.159023849590484,0.17667035603777,0.211659780971104,0.296046414520109,0.281946760254997,0.28968790245514,0.183745304165376,0.190534295801434,0.170753203586042
"averageARIMA_horizon_7.csv","averageARIMA",7,0.18725484081734,0.236621338766123,0.17184132433386,0.320167573519542,0.219165954460123,0.221721820409398,0.218647572223166,0.254787546098204,0.205457891358346,0.321359859198123,0.290685897675589,0.159127981066577,0.177504776540907,0.211883853558154,0.297205480261451,0.283624773657667,0.290836112536217,0.183560831945225,0.190658771583185,0.170968622962495
"averageARIMA_horizon_8.csv","averageARIMA",8,0.185981761468368,0.238280668002461,0.171062736378786,0.322574720140216,0.21942268561905,0.221959832961976,0.219134829503013,0.255171572352576,0.20617182165471,0.322190876475306,0.29097340073529,0.15784352288643,0.178119500603347,0.21189444450786,0.298344215134024,0.284054272551948,0.291689768162232,0.182970362072971,0.190485948823329,0.171039248171124
"averageARIMA_horizon_9.csv","averageARIMA",9,0.184991893395569,0.239572114412615,0.170108363257515,0.326952207082943,0.220389421981003,0.222218674326185,0.219097185300307,0.255124778061947,0.20658463260972,0.323315689616063,0.291152658270313,0.156474311647937,0.17871998079997,0.211613556713012,0.299283369533215,0.284869296644093,0.292392165810603,0.182407104498089,0.190342649461706,0.170888467492978
"averageARIMA_horizon_10.csv","averageARIMA",10,0.18374527859969,0.240970638955029,0.169071390970916,0.327145392111422,0.221448676749629,0.222613866972425,0.219470398242047,0.255525748958649,0.206431716532638,0.323855182950577,0.291181584989764,0.155196670966161,0.179242490127956,0.211816220648395,0.299857916146292,0.285721258210837,0.292925655517376,0.182147588644295,0.190316922554211,0.170714003003282
"averageARIMA_horizon_11.csv","averageARIMA",11,0.182626193874979,0.242742064813863,0.168205773905264,0.327334724274645,0.221947262822037,0.222974985641131,0.219706818200391,0.255823545934941,0.206019272554946,0.324502041399433,0.291046901029047,0.154790387055515,0.179193267538273,0.21175729337287,0.300181572527941,0.285714314548218,0.293390931370359,0.182118220346905,0.190142838759411,0.170625364645106
"averageARIMA_horizon_12.csv","averageARIMA",12,0.182111076648407,0.245113556625347,0.168103983165862,0.327082467887829,0.222650021202371,0.223499023127745,0.219796891664361,0.256014026862898,0.205599317298339,0.32552805142905,0.291665683122553,0.154293895373418,0.179319411218546,0.212262206120779,0.300426739516786,0.286304599535964,0.293529236474789,0.182043559752492,0.189805940555528,0.170743705770442
"averageARIMA_horizon_13.csv","averageARIMA",13,0.182296791488692,0.246687944147878,0.168662958361092,0.326803830947628,0.222891165442198,0.224255177407581,0.220423685683188,0.256003290389149,0.205540197748805,0.326096515096349,0.291594355545482,0.154451882497542,0.179226737248967,0.212715056585921,0.30074353580179,0.286748732134444,0.293438819584063,0.182248239038025,0.19002109786164,0.170890254710541
"averageARIMA_horizon_14.csv","averageARIMA",14,0.1836097667999,0.248075302068043,0.170201962443341,0.326477555362789,0.223436507800454,0.224791157762568,0.220964916804755,0.256014978112992,0.205827741738985,0.32675478352842,0.291628457516324,0.15536146854323,0.179436541932226,0.213011806108399,0.300786937646482,0.287169712867796,0.293397171533594,0.182951319820889,0.189925207391912,0.171223441331965
"averageARIMA_horizon_15.csv","averageARIMA",15,0.18560261028975,0.249041172189911,0.171644155807835,0.325974989771205,0.22376886066031,0.225337811580757,0.221422128586435,0.25563935337636,0.206019175319494,0.326985466599395,0.292080236616039,0.156065555110797,0.179448253848812,0.213239065536957,0.301396750109406,0.287645462885034,0.293733817869685,0.183481997653969,0.190177138437115,0.171539784663328
"averageARIMA_horizon_16.csv","averageARIMA",16,0.186961180480396,0.249880109692282,0.172159470620512,0.325470020648279,0.224471833704286,0.225799930041017,0.222113971211531,0.256036322944487,0.206131214209294,0.32758055239062,0.292020731690434,0.156661470873796,0.179390383020759,0.213679044358448,0.301763092528774,0.288005529976838,0.293916903289427,0.183487918995286,0.190118787244182,0.171470667729177
"averageARIMA_horizon_17.csv","averageARIMA",17,0.187296377617865,0.252168169298086,0.172113548270277,0.325140913091252,0.225083684850353,0.225914881056317,0.222393585657606,0.255805206433311,0.205895909060873,0.32801996218176,0.292019540170528,0.157057626237407,0.179531157174835,0.21371999611491,0.302456110762295,0.28796579427432,0.294097339739329,0.183128228463326,0.189920658761907,0.171137173574819
